Date,3M 
5/27/2005,3.96
5/26/2005,3.78
5/25/2005,3.93
5/24/2005,3.72
5/23/2005,3.61
5/20/2005,4
5/19/2005,3.98
5/18/2005,3.95
5/17/2005,4.34
5/16/2005,4.45
5/13/2005,4.06
5/12/2005,4.13
5/11/2005,3.94
5/10/2005,3.96
5/9/2005,4.04
5/6/2005,4.02
5/5/2005,3.8
5/4/2005,4.05
5/3/2005,4.19
5/2/2005,4.19
4/29/2005,4.19
4/28/2005,4.49
4/27/2005,4.49
4/26/2005,4.49
4/25/2005,4.49
4/22/2005,4.49
4/21/2005,4.85
4/20/2005,4.73
4/19/2005,5.23
4/18/2005,5.33
4/15/2005,5.36
4/14/2005,5.31
4/13/2005,4.42
4/12/2005,5.38
4/11/2005,5.74
4/8/2005,5.74
4/7/2005,5.74
4/6/2005,5.74
4/5/2005,5.74
4/4/2005,5.74
4/1/2005,5.74
3/31/2005,5.74
3/30/2005,5.74
3/29/2005,5.74
3/28/2005,5.74
3/25/2005,5.74
3/24/2005,5.74
3/23/2005,5.74
3/22/2005,5.28
3/21/2005,4.94
3/18/2005,5
3/17/2005,4.47
3/16/2005,3.92
3/15/2005,4.01
3/14/2005,3.05
3/11/2005,4.45
3/10/2005,4.45
3/9/2005,4.45
3/8/2005,5.01
3/7/2005,5.26
3/4/2005,5.31
3/3/2005,5.03
3/2/2005,4.94
3/1/2005,4.54
2/28/2005,4.33
2/25/2005,4.68
2/24/2005,4.75
2/23/2005,4.56
2/22/2005,4.74
2/21/2005,4.77
2/18/2005,4.1
2/17/2005,4.25
2/16/2005,4.53
2/15/2005,3.7
2/14/2005,3.66
2/11/2005,4.02
2/10/2005,4.02
2/9/2005,3.73
2/8/2005,3.69
2/7/2005,3.09
2/4/2005,3.09
2/3/2005,3.58
2/2/2005,3.89
2/1/2005,4.32
1/31/2005,4.64
1/28/2005,4.51
1/27/2005,4.48
1/26/2005,5.02
1/25/2005,5.23
1/24/2005,4.98
1/21/2005,5.6
1/20/2005,5.57
1/19/2005,4.95
1/18/2005,5.14
1/17/2005,5.29
1/14/2005,4.73
1/13/2005,4.42
1/12/2005,4.72
1/11/2005,6.81
1/10/2005,6.43
1/7/2005,6.36
1/6/2005,6.55
