Date,1Y ,2Y,3Y,4Y,5Y,7Y,10Y
3/19/2012,2.95,2.925,2.875,2.975,3.05,4.225,5.2
3/16/2012,2.8,2.8,2.8,2.8,2.975,4.175,5.2
3/15/2012,2.775,2.775,2.7625,2.7625,2.975,4.175,5.2
3/14/2012,2.75,2.7625,2.75,2.75,2.95,4.175,5.2
3/13/2012,2.75,2.75,2.7375,2.75,2.95,4.175,5.2
3/12/2012,2.7375,2.7375,2.7375,2.75,2.95,4.175,5.2
3/9/2012,2.75,2.7375,2.7375,2.75,2.95,4.175,5.2
3/8/2012,2.7375,2.7125,2.7125,2.75,2.95,4.175,5.2
3/7/2012,2.7375,2.7,2.7,2.75,2.95,4.175,5.2
3/6/2012,2.7,2.6875,2.7,2.75,2.95,4.175,5.2
3/5/2012,2.7,2.7,2.7,2.75,2.95,4.175,5.2
3/2/2012,2.725,2.7,2.7,2.75,2.95,4.175,5.2
3/1/2012,2.7,2.7,2.7,2.75,2.95,4.175,5.2
2/29/2012,2.675,2.7,2.7125,2.75,2.95,4.175,5.2
2/28/2012,2.6875,2.7125,2.7375,2.75,2.95,4.175,5.2
2/27/2012,2.725,2.725,2.7375,2.75,2.95,4.15,5.2
2/24/2012,2.75,2.725,2.725,2.75,2.95,4.175,5.2
2/23/2012,2.725,2.7375,2.7375,2.75,2.95,4.175,5.2
2/22/2012,2.75,2.75,2.7625,2.75,2.95,4.175,5.2
2/21/2012,2.775,2.75,2.725,2.75,2.95,4.175,5.2
2/20/2012,2.725,2.725,2.725,2.75,2.95,4.175,5.2
2/17/2012,2.725,2.725,2.725,2.75,2.95,4.175,5.2
2/16/2012,2.725,2.725,2.725,2.75,2.95,4.175,5.2
2/15/2012,2.7,2.7,2.725,2.75,2.95,4.175,5.2
2/14/2012,2.75,2.75,2.75,2.75,2.95,4.175,5.2
2/13/2012,2.75,2.75,2.75,2.75,2.95,4.175,5.2
2/10/2012,2.75,2.75,2.75,2.75,2.95,4.175,5.2
2/9/2012,2.775,2.75,2.75,2.775,2.975,4.175,5.2
2/8/2012,2.75,2.75,2.75,2.75,2.95,4.175,5.2
2/7/2012,2.775,2.75,2.75,2.75,2.95,4.175,5.2
2/6/2012,2.775,2.75,2.75,2.75,2.95,4.175,5.2
2/3/2012,2.775,2.7625,2.775,2.775,2.975,4.175,5.2
2/2/2012,2.8,2.7625,2.775,2.75,2.95,4.175,5.2
2/1/2012,2.8,2.7625,2.775,2.775,2.975,4.175,5.2
