Index,Open,High,Low,Close,Volume,Adjusted
2011-08-10,168.18,169.23,161.85,162.54,13993600,153.52
2011-08-11,164.1,168.77,162.94,166.73,9175600,157.48
2011-08-12,168.5,169.38,165.83,168.2,5187000,158.87
2011-08-15,171.32,174,170.39,172.99,7645400,163.39
2011-08-16,172.19,172.19,169,171.24,5585400,161.74
2011-08-17,171.57,172.99,169.89,171.48,5129700,161.96
2011-08-18,166.32,166.46,160.16,163.83,15082600,154.74
2011-08-19,162.17,163.94,157.13,157.54,14068600,148.8
2011-08-22,161.35,161.68,157.62,158.98,7249100,150.16
2011-08-23,160.65,164.59,159.53,164.32,6923300,155.2
2011-08-24,164.13,166.83,163.35,166.76,6427000,157.51
2011-08-25,167.52,168.53,164.85,165.58,6751600,156.39
2011-08-26,164.85,169.33,163.28,169.14,6438200,159.75
2011-08-29,170.58,172.72,170.36,172.62,5293400,163.04
2011-08-30,172.06,173.51,170.88,172.51,4477700,162.94
2011-08-31,173.29,173.72,170.71,171.91,6074200,162.37
2011-09-01,172.71,173.68,170.12,170.33,5463900,160.88
2011-09-02,167.69,168.93,166,166.98,4979100,157.71
2011-09-06,163.06,165.55,162.2,165.11,5761200,155.95
2011-09-07,167.28,167.9,166.16,167.31,6796600,158.03
2011-09-08,167,169.58,165.1,165.25,6027200,156.08
2011-09-09,164.57,165.19,160.81,161.37,6743900,152.41
2011-09-12,160.04,162.44,158.76,162.42,5247200,153.41
2011-09-13,163.64,163.92,161.54,163.43,4723800,154.36
2011-09-14,164.01,169.66,161.99,167.24,6980700,157.96
2011-09-15,168.64,170.16,167.23,170.09,5464400,160.65
2011-09-16,171.33,172.99,169.74,172.99,11048100,163.39
2011-09-19,169.5,173.87,169.43,173.13,4755600,163.52
2011-09-20,173.57,177.43,172.7,174.72,6209600,165.02
2011-09-21,175,177.67,172.62,173.02,7043100,163.42
2011-09-22,168.33,169.97,166.5,168.62,8195600,159.26
2011-09-23,166.99,169.54,165.76,169.34,5586600,159.94
2011-09-26,170.96,174.7,169.86,174.51,6745700,164.83
2011-09-27,176.82,179.62,176.43,177.71,7638800,167.85
2011-09-28,177.97,180.75,177.08,177.55,7732200,167.7
2011-09-29,179.69,180.91,175.53,179.17,6944300,169.23
2011-09-30,176.01,178.27,174.75,174.87,7807400,165.17
2011-10-03,174.36,177.92,173.04,173.29,9042600,163.67
2011-10-04,171.54,175.07,168.88,174.74,9200000,165.04
2011-10-05,174.57,177.3,172.68,176.85,5851700,167.04
2011-10-06,176.81,181.99,175.66,181.69,7180900,171.61
2011-10-07,182.32,183.72,181.64,182.39,6842600,172.27
2011-10-10,183,186.63,182.9,186.62,5784800,176.26
2011-10-11,184.59,186,184.11,185,5330500,174.73
2011-10-12,186.08,188,185.65,186.12,5338200,175.79
2011-10-13,184.97,187.5,184.5,186.82,4399200,176.45
2011-10-14,188.19,190.53,187.73,190.53,5368200,179.96
2011-10-17,189.71,190.16,185.9,186.59,8790300,176.24
2011-10-18,178,179.38,176.25,178.9,15729400,168.97
2011-10-19,179.68,179.81,177.01,177.39,6708300,167.55
2011-10-20,178.13,179.24,176.17,177.25,7513800,167.41
2011-10-21,179.11,181.67,178.75,181.63,8054200,171.55
2011-10-24,181.51,183.39,180.62,182.25,5890600,172.14
2011-10-25,181.66,182.97,180.01,180.36,5373100,170.35
2011-10-26,181.74,182.28,179.03,181.97,5387700,171.87
2011-10-27,184.99,187,183.18,185.88,7057800,175.56
2011-10-28,185.57,188.07,185.28,187.45,5009800,177.05
2011-10-31,185.59,186.91,184.63,184.63,4710000,174.38
2011-11-01,181.55,183.26,180.74,181.35,5881200,171.29
2011-11-02,184,185.25,183.03,183.92,4136600,173.71
2011-11-03,185.13,187.78,184.02,187.3,4953500,176.91
